keyword,cate,num
大米,大米,1101010001
面粉,面粉,1101010002
淀粉,淀粉,1101020001
黄豆,干豆,1101030001
黑豆,干豆,1101030001
豆制品,豆制品,1101030002
食用植物油,食用植物油,1101040001
生猪肉,猪肉,1101050101
生牛肉,牛肉,1101050102
生羊肉,羊肉,1101050103
整鸡,鸡,1101050201
鸡翅,鸡,1101050201
鸭子,鸭,1101050202
卤肉,畜肉制品,1101050301
酱肉,畜肉制品,1101050301
腊肉,畜肉制品,1101050301
咸肉 -腊肉,畜肉制品,1101050301
火腿 -火腿肠,畜肉制品,1101050301
火腿肠,畜肉制品,1101050301
香肠,畜肉制品,1101050301
红肠 -香肠,畜肉制品,1101050301
烤羊肉串,畜肉制品,1101050301
肉松,畜肉制品,1101050301
猪肉脯,畜肉制品,1101050301
牛肉干,畜肉制品,1101050301
肉圆,畜肉制品,1101050301
鲜肉贡丸,畜肉制品,1101050301
肉罐头,畜肉制品,1101050301
鸡类熟食,禽制品,1101050302
鸭类熟食,禽制品,1101050302
新鲜鸡蛋,鲜蛋,1101060001
鲜鸭蛋,鲜蛋,1101060001
咸鸭蛋,蛋制品,1101060002
皮蛋,蛋制品,1101060002
淡水鱼类,淡水鱼,1101070101
三文鱼,海水鱼,1101070102
鳕鱼,海水鱼,1101070102
带鱼,海水鱼,1101070102
龙利鱼,海水鱼,1101070102 
金枪鱼,海水鱼,1101070102 
鲽鱼,海水鱼,1101070102 
秋刀鱼,海水鱼,1101070102
斑鱼,海水鱼,1101070102
比目鱼,海水鱼,1101070102 
马鲛鱼,海水鱼,1101070102
冻虾,虾蟹类,1101070201 
虾类制品,虾蟹类,1101070201 
虾皮,虾蟹类,1101070201
虾米,虾蟹类,1101070201
海米,虾蟹类,1101070201
活虾,虾蟹类,1101070201 
虾仁,虾蟹类,1101070201
大闸蟹,虾蟹类,1101070201
帝王蟹,虾蟹类,1101070201 
蟹类制品,虾蟹类,1101070201 
青蟹,虾蟹类,1101070201 
黄金蟹,虾蟹类,1101070201 
其它蟹,虾蟹类,1101070201 
鳕蟹,虾蟹类,1101070201
珍宝蟹,虾蟹类,1101070201 
红毛蟹,虾蟹类,1101070201
老虎蟹,虾蟹类,1101070201
白菜 -摆件,鲜菜,1101080001
菠菜,鲜菜,1101080001
油菜,鲜菜,1101080001
芹菜,鲜菜,1101080001
韭菜,鲜菜,1101080001
空心菜 -芹菜,鲜菜,1101080001
大葱,鲜菜,1101080001
菜花,鲜菜,1101080001
白萝卜,鲜菜,1101080001
胡萝卜,鲜菜,1101080001
葱 -洋葱,鲜菜,1101080001
生姜,鲜菜,1101080001
莴笋,鲜菜,1101080001
大蒜,鲜菜,1101080001
黄瓜,鲜菜,1101080001
冬瓜,鲜菜,1101080001
西红柿,鲜菜,1101080001
茄子,鲜菜,1101080001
青椒,鲜菜,1101080001
豆角,鲜菜,1101080001
莲藕,鲜菜,1101080001
新鲜毛豆,鲜菜,1101080001
鲜香菇,鲜菜,1101080001
干菜,干菜及菜制品,1101080002
土豆,薯类,1101080003
新鲜红薯,薯类,1101080003
盐 -酱油,盐,1101090001
酱油,酱油,1101090002
醋 -工具,醋,1101090003
味精,味精,1101090004
白砂糖,食糖,1101100001
冰糖,食糖,1101100001
红糖,食糖,1101100001
糖果,糖果,1101100002
巧克力,巧克力制品,1101100003
茶叶,茶叶,1101110101
果珍,固体饮料,1101110201
奶茶,固体饮料,1101110201
速溶咖啡,固体饮料,1101110201
酸梅粉,固体饮料,1101110201
可乐,液体饮料,1101110202  
盐汽水,液体饮料,1101110202  
橙味汽水,液体饮料,1101110202   
柠檬味汽水,液体饮料,1101110202
果蔬饮料,液体饮料,1101110202
冰淇淋,冷冻饮品,1101110203
西瓜,鲜瓜果,1101120001
甜瓜,鲜瓜果,1101120001
哈密瓜,鲜瓜果,1101120001
苹果 水果,鲜瓜果,1101120001
梨,鲜瓜果,1101120001
桃子,鲜瓜果,1101120001
李子,鲜瓜果,1101120001
樱桃 水果,鲜瓜果,1101120001
葡萄 -柚,鲜瓜果,1101120001
猕猴桃,鲜瓜果,1101120001
柿子,鲜瓜果,1101120001
草莓,鲜瓜果,1101120001
香蕉,鲜瓜果,1101120001
椰子 水果,鲜瓜果,1101120001
芒果,鲜瓜果,1101120001
菠萝,鲜瓜果,1101120001
荔枝,鲜瓜果,1101120001
石榴,鲜瓜果,1101120001
甘蔗,鲜瓜果,1101120001
鲜百合,鲜瓜果,1101120001
梅子,干（坚）果,1101120002
山楂,干（坚）果,1101120002
杨梅,干（坚）果,1101120002
桂圆,干（坚）果,1101120002
荔枝干,干（坚）果,1101120002
葡萄干,干（坚）果,1101120002
红枣,干（坚）果,1101120002
黑枣,干（坚）果,1101120002
南枣,干（坚）果,1101120002
无花果,干（坚）果,1101120002
杏干,干（坚）果,1101120002
桃干,干（坚）果,1101120002
苹果干,干（坚）果,1101120002
梨干,干（坚）果,1101120002
大核桃,干（坚）果,1101120002
小核桃,干（坚）果,1101120002
板栗,干（坚）果,1101120002
银杏,干（坚）果,1101120002
榛子,干（坚）果,1101120002
松子,干（坚）果,1101120002
瓜子,干（坚）果,1101120002
花生,干（坚）果,1101120002
芝麻,干（坚）果,1101120002
果脯,干（坚）果,1101120002
桔饼,干（坚）果,1101120002
话梅,干（坚）果,1101120002
蜜枣,干（坚）果,1101120002
水果罐头,干（坚）果,1101120002
果酱,干（坚）果,1101120002
蛋糕,糕点,1101130001
饼干,饼干,1101130002
面包,面包,1101130003
巴氏鲜奶,巴氏杀菌奶或消毒奶,1101140001
酸奶,酸奶,1101140002
奶粉,奶粉,1101140003
电子烟,烟草,1102010000
白酒,白酒,1102020001
葡萄酒,葡萄酒,1102020002
啤酒,啤酒,1102020003
烟嘴,吸烟用品,1102030001
烟斗,吸烟用品,1102030001
烟盒,吸烟用品,1102030001 
戒烟产品,吸烟用品,1102030001 
烟具配件,吸烟用品,1102030001
酒杯,饮酒用品,1102030002 
酒具套件,饮酒用品,1102030002  
家用酒壶,饮酒用品,1102030002  
醒酒器,饮酒用品,1102030002  
开瓶器,饮酒用品,1102030002  
酒塞,饮酒用品,1102030002  
调酒器,饮酒用品,1102030002 
男大衣,男大衣,1103010101
男毛线衣,男毛线衣,1103010102
男夹克衫,男夹克衫,1103010103
男衬衫,男衬衫,1103010104
男T恤衫,男T恤衫,1103010105
男裤子,男裤子,1103010106
男西服,男西服,1103010107
男运动衫,男运动衫裤,1103010108
男运动裤,男运动衫裤,1103010108
男内衣,男内衣,1103010109
男羽绒衣,男羽绒衣,1103010110
女大衣,女大衣,1103010201
女毛线衣,女毛线衣,1103010202
女羽绒衣,女羽绒衣,1103010203
女套装,女套装,1103010204
女衬衫,女衬衫,1103010205
女T恤衫,女T恤衫,1103010206
女裙子,女裙子,1103010207
女裤子,女裤子,1103010208
女运动衫,女运动衫裤,1103010209
女运动裤,女运动衫裤,1103010209
女内衣,女内衣,1103010210
儿童套装,儿童套装,1103010301
儿童裤子,儿童裤子,1103010302
儿童裙子,儿童裙子,1103010303
棉布,棉布,1103020001
棉混纺布,棉混纺布,1103020002
化纤布,化纤布,1103020003
毛线,毛线,1103020004
男鞋,男鞋,1103030101
女鞋,女鞋,1103030102
童鞋,童鞋,1103030103
男袜,男袜,1103030201
女袜,女袜,1103030202
男帽,男帽,1103030301
女帽,女帽,1103030302
柜子,柜,1104010101
床,床,1104010102
桌子,桌,1104010103
椅子,椅,1104010104
沙发,沙发,1104010105
洗衣机,洗衣机,1104010201
电风扇,电风扇,1104010202
电冰箱,电冰箱(柜),1104010203
油烟机,吸排油烟机,1104010204
空调,空调器,1104010205
热水器,热水器,1104010206
微波炉,微波炉,1104010207
电饭煲,电炊具,1104010208
电炒锅,电炊具,1104010208
电水壶,电炊具,1104010208
电火锅,电炊具,1104010208
电烤箱,电炊具,1104010208
帘子,纺织装饰品,1104020001
灯,装饰灯具,1104020002
毛毯,毛毯,1104030001
被子,被子,1104030002
